시도교육청,교육지원청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,학교특성,분교여부,설립유형,주야구분,개교기념일,설립일,법정동코드,주소내역,상세주소내역,우편번호,학교도로명 우편번호,학교도로명 주소,학교도로명 상세주소,위도,경도,전화번호,팩스번호,홈페이지 주소,남녀공학 구분,폐교여부,폐교일자,휴교여부
교육부,교육부,충청남도 공주시,S000003496,국립공주대학교사범대학부설고등학교,04,국립,일반고등학교,N,부설,주간,19530301,19530201,4415010200,충청남도 공주시 반죽동,322-1.,314801,32550,충청남도 공주시 봉황로 75,공주대학교사범대학부설고등학교,36.45262067,127.1201441,041-851-4150,041-856-9537,http://woollim.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 홍성군,S120000123,갈산고등학교,04,공립,일반고등학교,N,병설,주간,19760310,19751114,4480038021,충청남도 홍성군 갈산면 상촌리,227-1.,350853,32202,충청남도 홍성군 갈산면 상촌로9번길 39,"(갈산면,갈산중학교)",36.60549794,126.5485309,041-634-5308,041-634-5670,http://galsan.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000124,강경고등학교,04,공립,일반고등학교,N,단설,주간,19360411,19360411,4423025021,충청남도 논산시 강경읍 남교리,48번지.,320901,32938,충청남도 논산시 강경읍 계백로 188,"(강경읍, 강경고등학교)",36.15899682,127.0200617,041-745-1903,041-745-1504,http://www.ganggyeong.cnehs.kr/main.do,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000126,강경상업고등학교,04,공립,특성화고등학교,N,단설,주간,19200525,19200525,4423025021,충청남도 논산시 강경읍 남교리,1번지.,320901,32938,충청남도 논산시 강경읍 계백로 220,"(강경읍, 강경상업정보고등학교)",36.16090331,127.0226672,041-745-2313,041-745-2513,http://www.gangsang.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000128,건양대학교병설건양고등학교,04,사립,일반고등학교,N,병설,주간,19800516,19790826,4423039028,충청남도 논산시 양촌면 남산리,564,320852,33022,충청남도 논산시 양촌면 황산벌로 486-21,(양촌면),36.14153102,127.2342694,041-741-2101,041-741-7939,http://konyang.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 홍성군,S120000130,홍성공업고등학교,04,공립,특성화고등학교,N,단설,주간,19810115,19810115,4480036021,충청남도 홍성군 결성면 읍내리,527-1.,350873,32212,충청남도 홍성군 결성면 구성남로 55,", 홍성공업고등학교 (결성면)",36.53052807,126.548891,041-642-8218,041-642-0966,http://www.hstec.cnehs.kr/,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000131,공주고등학교,04,공립,일반고등학교,N,단설,주간,19220422,19220422,4415010300,충청남도 공주시 중학동,137,314070,32564,충청남도 공주시 공주고담길 2,"(중학동, 공주고등학교)",36.44816912,127.1234746,041-855-1701,041-855-1707,http://www.kongjugo.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000132,공주마이스터고등학교,04,공립,특수목적고등학교,N,단설,주간,19711227,19711227,4415025021,충남 공주시 유구읍 백교리,133,314892,32506,충청남도 공주시 유구읍 중앙1길 27-12,", 공주마이스터고등학교 (유구읍)",36.54761258,126.9488162,041-841-2701,041-841-4920,http://gong.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000133,공주금성여자고등학교,04,사립,일반고등학교,N,단설,주간,19791021,19791021,4415010700,충청남도 공주시 웅진동,277,314020,32542,충청남도 공주시 무령로 103,"(웅진동, 공주금성여자고등학교)",36.45847197,127.1117595,041-854-3966,041-853-1416,ksgh.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000134,공주생명과학고등학교,04,공립,특성화고등학교,N,단설,주간,19330519,19330519,4415012000,충청남도 공주시 신관동,495-3.,314803,32529,충청남도 공주시 금벽로 317,(신관동),36.47398876,127.1239574,041-858-3500,041-858-3513,http://gongju-agr.cnehs.kr,남녀공학,N,,N
